pk,Energizer rechargeable battery EXTREME MH15URP2 (2pcs/pk)
roll,Exelon Polyolefin insulation foam 12 mm 1.2 meters x 20 meters
,Extensions
,F
m,Felxible Hose
pc,Fiber glass wire #12
case,"Finishing nail 1"" (23kg/case)"
case,"Finishing nail 1-1/2"" (23kg/case)"
case,"Finishing nail 1-1/4"" (23kg/case)"
case,"Finishing nail 2"" (23kg/case)"
case,"Finishing nail 2-1/2"" (23kg/case)"
case,"Finishing nail 3"" (23kg/case)"
set,"Fire hose double jacket 2"" dia x 100ft"
pc,Firefly 105W daylight 3S105 Spiral
pc,Firefly Circular Tube 22W
pc,Firefly Circular Tube 32W
pc,Firefly Circular Tube 40W
,Firefly lighting
pc,Firefly Tube 20W T12
pc,Firefly Tube 40W T12
,fitting connectors
pc,"Flexible aircon duct with insulation, 200mm (8 inches) dia  X 10m long (By order basis) (China) "
set,Fluke networks 3327460 52801RJ9 TS52 Pro test set with ABN and RJ11 plug
Set,
Set,Fluke Networks MT-8200 60-A Intellitone Pro 200 Toner and Probe Kit
Set,Fluke Networks MT-8200 60-A Intellitone Pro 200 Toner and Probe Kit
,"Formica, ball type woods products"
Tank,Freon
Tank,Freon
Tank,Freon
pc,Fujidenso MM22BL Oven 20 Liters capacity
set,Fushion machine
set,Fushion machine
,G
pc,G.I. Kitchen sink 16 X 24
kg,G.I. Wire #10 (40kg)
kg,G.I. Wire #12 (40kg)
kg,G.I. Wire #14 (35kg)
Kg,G.I. Wire #16 (35KG)
Kg,G.I. Wire #18 (35 KG)
pc,GE Circuit breaker TQD32150
pc,GE Flourescent
,Glass products
pc,Grip anchor
,Grocery
,H
pc,"Hacksaw blade 12"" x 24T"
set,Hafele drawer guide full extension 30 kg - Black 494.02.274
set,Hafele drawer guide single extension 25 kg - white 494.02.525
pc,Hammer Bit 20x210
pc,Hammer Bit 6x160mm
pc,Hand tap 10mm x 1.5mm pitch (Dormer)
pc,Hand tap 10mm x 1.5mm pitch (Dormer)
pc,Henkel Turco rust conv. Liter (CHT)(B-12)+
set,Hyjet (Easyflow) bidet
,I
pc,"Indola Exhaust blower VWZ250 new code V4S2561 10"" dia, metal frame, 220 V, single phase"
,Insulation products and light weight materials
pc,Iwata hand dryer with sensor AK2630T
,J
,K
pc,"Kilo-Watt meter Digital Class 200 Direct connected 3 Phase, 3-Wire, 230 volts, Sub meter"
pc,Kitchen towel
pc,"Kitchen towel hanger 30"" (Trimona)"
pc,KL series catergory 6 110Connect modular jack - white
,L
pc,Ladder
pc,LED automatic emergency light
,lightings and accessories
pc,Liquid sosa (1 liter)
pc,Liquid sosa (500ml)
pc,"Locknut & Bushing, 1-1/2"" dia"
,M
pc,Magnetic Contactor L&T MNX12 Auxiliary
pc,Magnetic Contactor L&T MNX12 No auxiliary
pc,Makita Electric hand drill 8420V
pc,Map Pro gas
pc,Map Pro gas
pc,Marine Plywood 1/2
pc,Marine Plywood 1/4
pc,Marine Plywood 3/4
pc,"Masonry drill bit 3/16"" dia "
pc,Mediclinics Hand dryer with sensor (germany) M04A white
,Memo express
pc,"Metabond G.I. Plain sheet, 4' x 8' Gauge 24"
pc,Metric ruler toblerone China
pc,Metric ruler toblerone Rotring
pc,Micro fiber kitchen towel (Mr. Clean)
pc,"Mini-circuit breaker, 20 A"
pc,"Mitutoyo Digital caliper 12"" 0.01mm 500-173"
pc,"Mitutoyo Digital caliper 12"" 0.01mm 500-174"
pc,"Molded case circuit breaker 60 amperes 3 pole with NEMA 1, ABB"
pc,"Molded case circuit breaker 60 amperes 3 pole with NEMA 1, ABB"
pc,"Molded case circuit breaker 60 amperes 3 pole, ABB (66703"
pc,"Molded case circuit breaker 60 amperes 3 pole, ABB(A1B)"
pc ,Motolite Gold reverse polarity 3SM
pc ,Motolite Gold reverse polarity 3Sm
,N
set,"Nuts, bolts, and washer (not nickel plated)"
set,"Nuts, bolts, and washer (white)"
,O
pc,Office table glass
pc,Office table glass
,Omni products
set,Opposed blade volume damper 250 mm x 250 mm
pc,Oring 12 x 16 x 2mm Viton S-70
pc,Oring 7 x 11 x 2mm Viton S-70
,P
pc,"P31CA22GEMN6LNW   FR+L  1/4"" Manual Drain CDA Filter "
pc,"P32EA24EGABNGP   FR+L  1/2"" CDA Filter "
dozen,"Paint brush butterfly 1"""
dozen,"Paint brush butterfly 1.5"""
dozen,"Paint brush butterfly 1/2"""
dozen,"Paint brush butterfly 2"""
dozen,"Paint brush butterfly 2.5"""
dozen,"Paint brush butterfly 3"""
dozen,"Paint brush butterfly 3/4"""
dozen,"Paint brush butterfly 4"""
dozen,"Paint brush Globe 1"""
dozen,"Paint brush Globe 1.5"""
dozen,"Paint brush Globe 1/2"""
dozen,"Paint brush Globe 2"""
dozen,"Paint brush Globe 2.5"""
dozen,"Paint brush Globe 3"""
dozen,"Paint brush Globe 3/4"""
dozen,"Paint brush Globe 4"""
pc,"Paint roller 7"""
pc,"Paint roller 9"""
pc,Paint tray /pan
pc,Panda stailess kitchen sink small 14 x 20
,PC express
Linear ft,Picture frame 1 x 1.5
,Pipes and fittings
case,"Plastic Varnish (Centro) (24pcs/case) (natural, brown, mahogany)"
pc,Platform truck rubbermaid 4403
pc,Platform truck rubbermaid 4404
pc,Plyboard 3/4
pc,Plywood 1/8
pc,Plywood 1/2
pc,Plywood 1/4
pc,Plywood 3/4
roll,"Polyethylene insulation foam with adhesive with one side aluminum foil, gray, 12 mm thick, 1 m x 50 (3,250 is adhesive) (foam 3,475 +5%)"
roll,"Polyethylene insulation foam with adhesive with one side aluminum foil, gray, 12 mm thick, 1 m. X 50m (adhesive 3,000)"
roll,"Polyethylene insulation foam with adhesive with one side aluminum foil, white, 12 mm thick, 1 m x 50 (3,250 is adhesive) (Foam 3,475)"
roll,"Polyethylene insulation foam with one side aluminum foil, gray, 12 mm thick, 1 m. X 50m "
roll,Polyolefin insulation foam 12mm 1.2 meters x 20 meters
roll,Polythylene Tape white
roll,Polythylene Tape white
pc,Powerhouse Tox wall plug #6
Tube,Pr-05 Prosil Sealant Neutral white
pc,Proseal silicon sealant
pc,"PVC ball valve 1"" sch 80"
pc,"PVC ball valve 1-1/2"" sch 80"
pc,PVC Bushing reducer 1-1/2 x 1 Sch 80
pc,PVC cement (Pint size)- weld on
pc,PVC Coupling 1-1/2 Dia sch 80
pc,PVC Elbow (Blue)
pc,"PVC Elbow 1-1/2"" dia 90 deg sch 80"
m,PVC Flexible hose
pc,PVC Pipe (Blue)
pc,PVC Pipe (Orange)
Can,PVC Pipe Netex Cement
,PVC products atlanta
pc,PVC tee (Blue)
pc,"PVC Tee socket 1-1/2"" dia sch 80 (Spears)"
PC,Pylox spray paint GEN Green No. 27
,Q
,R
tank,Refrigerant R-141B 30Kg/tank
pc,"Rio Exhaust blower wall type 9.5"" dia, 12 hours operating"
pc,Riveter heavy duty 69-799
pc,RJ connector 6P
pc,RJ45
pc,"RJ45 connector 8P, solid, AWG 24-26"
roll,Rockwool Blanket Insulation
pc,"RSC Coupling, 1-1/2"" dia"
pc,"RSC Elbow, 1-1/2"" long bend 90 deg."
pc,"RSC Pipe, 1-1/2"" dia"
pc,Rubber Insulation
pc,Rubber Insulation
pc,Rubber Insulation
pc,Rubber Insulation
pc,Rubicon knife cutter medium
bottle,Rugby contact cement
pc,Ryobi overhead concealed door closer
,S
pc,Sand paper
meter,Sand paper #100 (3m) (1 meter)
gal,sanding sealer
pc,Schneider Magnetic Contactor LC1D50A
pc,Schneider Magnetic Contactor LC1D50A
pc,Schneider Magnetic Contactor LC1D50A
pc,Sealwell silicon sealant
pc,SGI Stripsol Bottle (CGS)(b-24)+
pc,Silicon sealant 300ml Acrylic siliconize sealant white
pc,Silicon sealant 300ml paintable clear bosny
pc,Silicon sealant 300ml paintable paint sealant white
pc,Silver rod
pc,Silver rod
pc,Smoke detector battery operated (First alert)
roll,Soft annealed coppertube
roll,Soft annealed coppertube
roll,Soft annealed coppertube
roll,Soft annealed coppertube
pc,Spears PVC Bell reducer Schedule 80
pc,Spears PVC Bell reducer Schedule 80
pc,Spears PVC Coupling Schedule 80
pc,Spears PVC Elbow Schedule 80
pc,Spears PVC Tee Schdedule 80
pc,Stainless Allen cap screw 4 x 16 mm
pc,Stainless Allen cap screw 4 x 20 mm
pc,Stainless Allen cap screw 4 x 25 mm
pc,Stainless Allen cap screw 5 x 12 mm
pc,Stainless Allen cap screw 5 x 16 mm
pc,Stainless Allen cap screw 5 x 20 mm
pc,Stainless Allen cap screw 5 x 25 mm
pc,stainless clamp for toyospring hose
pc,"Standard STU-18 Electric fan 18"" blade"
pc,"Stanley Mechanics vise-swivel #81-603 6"""
,Stanley products
pc,Starting capacitor for window type acu 450 vac to 60tz 40uf +5%
pc,"Steel tape, 5 meters"
pc,"Steel tape, 5 meters"
kg,Stopa round rugs
roll,Stranded wire THHN
roll,Stranded wire THHN
set,"Submersible pump, 1500W, 220V, 2"" discharge, 30m head, 10m cable, 350 L/ minutes SHOWFOU SH-212HN"
set,"Submersible pump, 1500W, 220V, 2"" discharge, 34ft 10m head, 10m cable, 132 gal/ minutes (Predollo)"
,Sugatsune products
pc,Sutton Drill bit 12 mm HS
,T
pc,Tailin Cutting disk A30S
set,Telephone tester Fluke TS22
pc,Terminal lugs Crimp type
pc,Terminal lugs Crimp type
pc,"Tex screw wood 1"""
pc,"Tex screw wood 2"""
gal,Thaumaturgy roof patching compound
Liter,Thoro Waterplug
pc,Threaded rounded bar
pc,"Tin snip 10"""
pc,"Tin snip 12"""
pc,"Tin snip 7"""
pc,"Towel hanger 24"""
pc ,"Towel hanger 30"" (Hava Asia)"
m,"Toyospring PVC hose 25 x 33mm 1"""
roll,"Toyospring PVC hose 25 x 33mm 1"""
,U
case,U Nail 1-1/4 (23kg/case)
case,U Nail 3/4 (23kg/case)
pc,U-bolt 1/4 x 6 inches galvanized
pc,"U-Bolt, 1-1/2"" x 3"""
case,Umbrella nail (23kg/case)
pc,"US style 4 port faceplate, without shutter - white"
pc,"US style keystone horizontal faceplate with sutter, double - white"
pc,"US style keystone horizontal faceplate with sutter, single -white"
pc,UV light 18 watts HAYCHOW
,V
unit,Viking Platform Truck - Push Cart Trolley
can,Vulcaseal
can,Vulcaseal
tube,Vulcaseal
can,Vulcaseal
,W
pk,Welding Rod (20kg/pk)
pint,Weld-on cement
pint,Weld-on Primer
pc,Wire rope clamp 40mm
pc,Wireless telephone Panasonic 3600
,Wires
Linear ft,"Wood Cornice, baseboard, door casing, Center Mldg, base mldg, Lining, Skirting 1 x 2 width 8' above"
Linear ft,"Wood Cornice, baseboard, door casing, Center Mldg, base mldg, Lining, Skirting 1 x 3 width 8' above"
Linear ft,"Wood Cornice, baseboard, door casing, Center Mldg, base mldg, Lining, Skirting 1 x 4 width 8' above"
Linear ft,"Wood Cornice, baseboard, door casing, Center Mldg, base mldg, Lining, Skirting 1 x 6 width 8' above"
Linear ft,Wood Modling 1/2 x 1
Linear ft,Wood Molding 1/2 x 2
Linear ft,Wood Molding 1x1
Linear ft,Wood Molding Clover
Linear ft,Wood Molding Crown
Linear ft,Wood Molding Half round
Linear ft,Wood Molding Quarter C
Linear ft,Wood Molding Quarter Round
brd. Ft,Wood Solid Kiln dry timber 1 x 10 Width 8' above times 1x10xLENGTH /12 x price
brd. Ft,Wood Solid Kiln dry timber 1 x 12 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 1 x 2 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 1 x 3 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 1 x 4 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 1 x 5Width 8' above
brd. Ft,Wood Solid Kiln dry timber 1 x 6 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 1 x 8 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 1.5 x 2 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 2 x 10Width 8' above
brd. Ft,Wood Solid Kiln dry timber 2 x 12 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 2 x 2 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 2 x 3 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 2 x 4  Width 8' above
brd. Ft,Wood Solid Kiln dry timber 2 x 5 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 2 x 6 Width 8' above
brd. Ft,Wood Solid Kiln dry timber 2 x 8 Width 8' above
,X
,Y
pc,Yale lite door closer (SB)
pc,Yale screen door closer V1688
, g
,
unit,"AEG KS 66-2, 6mm cicular saw, 1600W, 7-1/2 dia"
unit,"AEG Planner PL 750, 750W, 82mm"
unit,"AEG SMT 355 Metal Chopsaw, 230W"
unit,"AEG SB 630, 13mm Impact drill BOX case"
unit,"Metabo W9-125, 5"", 10,000 RPM 8.0 AMP Angle grinder"
unit,"Metabo, 610W Electric orbital jigsaw STEB 140"
,"Metabo Jigsaw blade assortment, Consisting 2 blade each, for Wood, metal and plastic"
unbit,"Metabo, 560W, impact drill, SBR 650"
pc,Powercraft 1/16 - 1/2 drill bit 29 pcs
pc,"Powercraft PCDB 100 TE Diamond cutting disc blade 4"""
pc,Powercraft PCBD 100 CGE PC Masonry Disc blade
